,zipcode,name,population,median_income,White,African American,gini_index,labor_participation,unemployment,poverty_rate
604,61441,ZCTA5 61441,1142,50078,1085,0,0.4075,68.2,1.2,15.0
605,61442,ZCTA5 61442,748,35982,733,0,0.5011,53.9,1.8,24.6
606,61443,ZCTA5 61443,13788,39052,11673,706,0.4468,59.3,5.0,15.7
607,61447,ZCTA5 61447,939,66719,927,0,0.3866,67.8,0.0,7.4
608,61448,ZCTA5 61448,3705,54931,3636,22,0.3983,59.9,3.3,13.5
609,61449,ZCTA5 61449,384,33542,384,0,0.4480,48.7,22.0,13.7
610,61450,ZCTA5 61450,1766,47500,1727,0,0.3976,55.4,0.0,10.2
611,61451,ZCTA5 61451,457,100125,453,0,0.3339,75.4,15.5,0.0
612,61452,ZCTA5 61452,265,54063,265,0,0.3130,67.0,0.0,6.3
613,61453,ZCTA5 61453,627,48750,589,0,0.3721,73.0,4.5,7.1
614,61454,ZCTA5 61454,538,33125,510,0,0.4317,46.3,2.1,17.6
615,61455,ZCTA5 61455,21368,40883,18546,1439,0.4829,54.1,6.0,11.9
616,61458,ZCTA5 61458,757,51250,757,0,0.4276,51.0,3.8,8.2
617,61459,ZCTA5 61459,324,50208,301,21,0.3709,52.8,20.5,6.9
618,61460,ZCTA5 61460,284,44545,281,0,0.3064,59.4,0.0,2.3
619,61462,ZCTA5 61462,11592,42767,9963,445,0.4413,64.0,3.6,10.3
620,61465,ZCTA5 61465,1250,67917,1219,5,0.4145,71.7,5.5,6.0
621,61466,ZCTA5 61466,344,58750,339,0,0.4249,47.3,0.0,13.5
622,61467,ZCTA5 61467,1159,72000,1080,30,0.3158,68.9,5.8,3.3
623,61468,ZCTA5 61468,57,-,57,0,0.2584,56.0,-,0.0
624,61469,ZCTA5 61469,2212,43036,2099,8,0.5209,65.3,0.0,5.7
625,61470,ZCTA5 61470,560,48068,528,21,0.3755,55.1,8.3,13.5
626,61471,ZCTA5 61471,81,58750,76,0,0.3218,38.9,0.0,0.0
627,61472,ZCTA5 61472,597,70658,556,17,0.3313,58.4,7.3,3.7
628,61473,ZCTA5 61473,1562,42357,1542,18,0.3946,64.9,1.2,6.1
629,61474,ZCTA5 61474,224,47273,224,0,0.3413,67.8,10.5,5.1
630,61475,ZCTA5 61475,198,62321,195,0,0.2885,72.1,0.0,0.0
631,61476,ZCTA5 61476,445,47578,445,0,0.3983,56.6,12.0,11.6
632,61477,ZCTA5 61477,578,45500,577,0,0.3910,64.4,9.1,14.1
633,61478,ZCTA5 61478,330,82625,330,0,0.3509,63.9,0.0,0.0
634,61479,ZCTA5 61479,107,-,107,0,0.5883,64.2,0.0,32.1
635,61480,ZCTA5 61480,1293,46063,1278,2,0.3444,60.4,4.4,14.1
636,61482,ZCTA5 61482,652,50852,640,0,0.4006,63.8,1.4,9.1
637,61483,ZCTA5 61483,2111,53125,2024,25,0.4696,59.3,1.0,2.7
638,61484,ZCTA5 61484,752,45694,738,0,0.4285,66.6,31.0,8.3
639,61485,ZCTA5 61485,539,50500,536,0,0.4285,56.4,0.0,2.9
640,61486,ZCTA5 61486,1541,68092,1496,0,0.3324,66.1,0.0,8.0
641,61488,ZCTA5 61488,1014,52031,977,2,0.4086,67.6,3.0,14.6
642,61489,ZCTA5 61489,891,50833,888,2,0.3973,66.9,3.2,13.6
643,61490,ZCTA5 61490,1250,61250,1247,2,0.3939,66.0,8.1,2.6
644,61491,ZCTA5 61491,1802,51625,1774,0,0.4562,62.4,4.0,8.2
645,61501,ZCTA5 61501,1566,36445,1517,28,0.4239,51.6,2.1,21.8
646,61516,ZCTA5 61516,706,64438,706,0,0.3092,65.3,17.4,7.6
647,61517,ZCTA5 61517,3372,85208,3188,129,0.4035,64.5,1.5,1.8
648,61519,ZCTA5 61519,219,46667,216,0,0.4829,64.9,12.8,13.3
649,61520,ZCTA5 61520,17112,46382,15555,1225,0.4427,49.9,5.1,12.2
650,61523,ZCTA5 61523,11588,58546,11293,15,0.3996,63.9,6.5,6.8
651,61524,ZCTA5 61524,310,47875,310,0,0.3889,58.4,3.8,13.1
652,61525,ZCTA5 61525,9205,110595,7428,163,0.4247,67.4,0.6,2.8
653,61526,ZCTA5 61526,805,106786,789,7,0.3825,52.8,0.0,4.1
654,61528,ZCTA5 61528,3176,92619,2728,0,0.3697,65.4,0.0,0.0
655,61529,ZCTA5 61529,2687,67938,2667,0,0.3730,74.1,6.4,5.1
656,61530,ZCTA5 61530,7040,58936,6875,45,0.4317,62.3,2.6,7.0
657,61531,ZCTA5 61531,3262,56176,3159,0,0.3913,67.9,8.0,9.6
658,61532,ZCTA5 61532,651,43854,650,0,0.4604,55.5,0.0,4.0
659,61533,ZCTA5 61533,2604,59300,2531,9,0.3947,61.6,3.7,7.3
660,61534,ZCTA5 61534,1760,54844,1750,5,0.3316,66.1,1.3,2.2
661,61535,ZCTA5 61535,1451,103750,1381,12,0.3865,62.5,11.8,0.0
662,61536,ZCTA5 61536,2767,67222,2727,8,0.3811,57.5,1.3,1.1
663,61537,ZCTA5 61537,2850,53164,2801,0,0.4358,58.5,4.7,11.8
664,61539,ZCTA5 61539,248,45417,248,0,0.2963,67.6,11.4,6.6
665,61540,ZCTA5 61540,2791,54569,2728,35,0.4390,62.7,0.8,8.3
666,61541,ZCTA5 61541,94,31500,92,0,0.3848,65.8,15.4,15.4
667,61542,ZCTA5 61542,3561,56250,3463,32,0.3587,58.9,3.7,6.0
668,61543,ZCTA5 61543,137,44375,137,0,0.3603,47.7,0.0,0.0
669,61544,ZCTA5 61544,568,45000,554,0,0.3600,56.9,14.0,8.1
670,61545,ZCTA5 61545,779,64706,769,0,0.3384,59.8,0.0,1.4
671,61546,ZCTA5 61546,3767,60844,3703,0,0.3700,61.2,1.9,5.7
672,61547,ZCTA5 61547,4382,91625,4329,6,0.3639,68.7,0.6,1.6
673,61548,ZCTA5 61548,12230,83208,11723,51,0.4359,64.8,3.9,4.6
674,61550,ZCTA5 61550,17955,76634,17254,125,0.4047,62.0,1.1,2.4
675,61552,ZCTA5 61552,162,32143,162,0,0.3875,63.2,26.9,0.0
676,61553,ZCTA5 61553,167,39000,167,0,0.4108,61.0,0.0,4.7
677,61554,ZCTA5 61554,42900,53154,41156,746,0.4144,60.6,5.9,8.6
678,61559,ZCTA5 61559,3032,59911,2921,9,0.3807,60.6,2.0,6.3
679,61560,ZCTA5 61560,529,70521,518,11,0.3983,54.2,9.5,0.0
680,61561,ZCTA5 61561,2643,54341,2619,11,0.3372,60.6,4.2,0.0
681,61562,ZCTA5 61562,0,-,0,0,-,-,-,-
682,61563,ZCTA5 61563,517,42578,514,0,0.3810,62.2,10.3,6.5
683,61564,ZCTA5 61564,967,47946,951,0,0.3302,70.9,7.3,4.6
684,61565,ZCTA5 61565,1512,56328,1496,0,0.3876,61.8,1.4,6.0
685,61567,ZCTA5 61567,599,37656,568,0,0.3277,57.7,20.0,4.1
686,61568,ZCTA5 61568,3974,74359,3890,0,0.3938,64.6,2.2,3.4
687,61569,ZCTA5 61569,1113,64931,1025,0,0.3131,47.2,0.0,2.9
688,61570,ZCTA5 61570,1698,55513,1654,0,0.3869,65.4,3.2,11.2
689,61571,ZCTA5 61571,24822,69298,23268,351,0.4185,65.2,4.1,4.5
690,61572,ZCTA5 61572,1179,56950,1149,3,0.4034,61.0,5.3,2.5
691,61602,ZCTA5 61602,1019,20707,667,230,0.6068,35.7,38.6,10.3
