GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US15780,15780,"Camden, AR Micro Area",29572,*****,17900,94,11128,138,63,38,28,31,10,14,32,29,411,152,0,21,411,152
310M300US15820,15820,"Campbellsville, KY Micro Area",25406,*****,23267,68,1195,219,0,21,249,176,0,21,61,39,634,204,12,20,622,208
310M300US15860,15860,"Cañon City, CO Micro Area",46601,*****,42068,319,2145,376,575,164,339,84,27,48,565,193,882,388,334,167,548,328
310M300US15900,15900,"Canton, IL Micro Area",35733,*****,33695,106,1352,73,71,55,85,30,30,23,132,83,368,91,16,21,352,89
310M300US15940,15940,"Canton-Massillon, OH Metro Area",402098,*****,357396,471,26963,873,424,134,3160,258,84,86,1469,439,12602,962,556,204,12046,932
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",700165,*****,593227,2688,60664,1015,1246,348,10856,505,382,227,21277,2284,12513,1561,2408,708,10105,1411
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",97136,*****,84903,239,8568,330,284,156,1165,151,17,18,214,119,1985,451,161,83,1824,436
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",126592,*****,107438,381,11491,410,362,152,2668,243,15,17,1012,329,3606,502,266,103,3340,474
310M300US16100,16100,"Carlsbad-Artesia, NM Micro Area",56793,*****,52005,552,843,86,793,103,256,143,23,33,2173,520,700,224,178,128,522,186
310M300US16140,16140,"Carroll, IA Micro Area",20428,*****,19846,89,301,131,17,18,31,27,0,17,89,88,144,120,3,6,141,120
310M300US16180,16180,"Carson City, NV Metro Area",54219,*****,43841,902,931,160,1365,277,1326,197,78,115,4969,939,1709,291,191,108,1518,298
310M300US16220,16220,"Casper, WY Metro Area",81023,*****,75588,419,1067,257,713,240,652,122,5,7,906,374,2092,386,267,179,1825,357
310M300US16260,16260,"Cedar City, UT Micro Area",48504,*****,44154,438,281,134,1251,121,314,94,23,26,1504,521,977,314,14,23,963,315
310M300US16300,16300,"Cedar Rapids, IA Metro Area",266122,*****,240152,576,11557,582,456,203,5096,321,134,133,2177,631,6550,809,459,214,6091,762
310M300US16340,16340,"Cedartown, GA Micro Area",41444,*****,31246,471,5253,301,166,167,271,102,26,31,3845,483,637,310,20,39,617,307
310M300US16380,16380,"Celina, OH Micro Area",40723,*****,39541,134,278,70,3,6,175,60,151,7,251,134,324,93,0,24,324,93
310M300US16420,16420,"Central City, KY Micro Area",31153,*****,28845,144,1516,106,76,50,71,46,7,13,98,92,540,178,230,113,310,119
310M300US16460,16460,"Centralia, IL Micro Area",38305,*****,35552,81,1299,146,78,33,270,48,0,23,258,100,848,169,3,4,845,169
310M300US16500,16500,"Centralia, WA Micro Area",76012,*****,69415,524,503,186,472,142,981,183,106,70,1173,414,3362,452,434,190,2928,387
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",153003,*****,142343,383,6033,287,300,116,1526,230,60,58,827,330,1914,452,299,222,1615,378
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",237849,*****,179655,548,27507,534,389,113,21609,415,132,128,1947,477,6610,799,563,196,6047,780
310M300US16620,16620,"Charleston, WV Metro Area",219964,*****,197810,222,13234,615,226,82,2024,291,12,32,477,168,6181,678,127,79,6054,678
310M300US16660,16660,"Charleston-Mattoon, IL Micro Area",63439,*****,59348,149,2011,151,130,71,689,59,147,112,126,68,988,213,52,44,936,196
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",744195,*****,503404,1344,196047,1160,2093,368,12822,570,361,128,10639,1408,18829,1286,1084,335,17745,1309
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2427024,*****,1647912,3780,542050,2022,8137,716,82910,1171,1181,302,85752,3804,59082,2305,6084,845,52998,2280
310M300US16820,16820,"Charlottesville, VA Metro Area",228825,*****,179123,542,31336,661,522,192,9121,307,72,51,2601,543,6050,681,278,98,5772,673
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",548359,*****,446763,1053,74462,813,1000,271,8913,398,301,185,4820,854,12100,1002,936,341,11164,902
310M300US16940,16940,"Cheyenne, WY Metro Area",97031,*****,86020,733,2603,306,836,214,1171,247,185,151,2968,662,3248,550,638,229,2610,508
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9549229,*****,6303072,11342,1599415,3525,23613,1760,605836,2289,3346,339,772752,11692,241195,5203,60791,3302,180404,3994
310M300US17020,17020,"Chico, CA Metro Area",225207,*****,185221,1076,3372,312,2633,457,10174,492,424,168,9646,925,13737,893,1691,410,12046,723
310M300US17060,17060,"Chillicothe, OH Micro Area",77125,*****,69648,209,3972,281,14,16,446,47,18,23,440,181,2587,320,157,130,2430,293
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2156723,*****,1770349,1638,263446,1999,2910,517,51027,934,1055,211,18695,1631,49241,2288,2432,594,46809,2280
310M300US17200,17200,"Claremont-Lebanon, NH-VT Micro Area",216739,*****,205488,235,1910,249,766,220,3828,213,139,84,638,170,3970,363,155,72,3815,353
310M300US17220,17220,"Clarksburg, WV Micro Area",93985,*****,90035,124,1504,191,39,40,616,185,39,36,127,90,1625,219,40,35,1585,217
310M300US17260,17260,"Clarksdale, MS Micro Area",24296,*****,5247,5,18756,100,30,28,132,24,0,24,7,8,124,93,6,11,118,93
310M300US17300,17300,"Clarksville, TN-KY Metro Area",278844,*****,202015,889,54081,1139,1551,276,5250,352,1025,159,3454,632,11468,1019,750,254,10718,964
310M300US17340,17340,"Clearlake, CA Micro Area",64095,*****,49841,687,1493,192,2201,212,953,178,33,35,7951,745,1623,393,238,121,1385,352
310M300US17380,17380,"Cleveland, MS Micro Area",33121,*****,10875,129,21276,116,91,94,309,27,0,27,505,142,65,46,0,27,65,46
310M300US17420,17420,"Cleveland, TN Metro Area",120388,*****,110795,367,5176,261,183,121,1221,97,32,40,1134,352,1847,286,170,98,1677,276
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",2062764,*****,1522054,1507,410657,1692,4945,639,44364,636,430,116,24109,1260,56205,1904,6160,771,50045,1924
310M300US17500,17500,"Clewiston, FL Micro Area",39064,*****,30341,927,4444,312,791,281,342,32,47,76,1967,737,1132,519,182,139,950,517
310M300US17540,17540,"Clinton, IA Micro Area",47587,*****,44594,226,1223,165,186,45,333,40,0,20,254,156,997,213,16,22,981,214
310M300US17580,17580,"Clovis, NM Micro Area",50283,*****,34262,1001,2958,320,542,100,744,116,99,94,9546,1053,2132,484,927,312,1205,323
310M300US17620,17620,"Coamo, PR Micro Area",39796,*****,26183,1153,8496,1049,0,29,0,29,0,29,4888,760,229,215,35,25,194,215
310M300US17640,17640,"Coco, PR Micro Area",29239,*****,16612,1015,7888,969,64,76,129,131,0,25,4096,738,450,291,57,44,393,287
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",150128,*****,141527,462,664,203,2124,369,1070,223,161,90,639,345,3943,523,237,104,3706,516
