GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US62672,62672,ZCTA5 62672,234,61,216,60,6,9,2,3,6,10,0,11,0,11,4,6,0,11,4,6
8600000US62673,62673,ZCTA5 62673,569,147,533,127,36,34,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62674,62674,ZCTA5 62674,1333,154,1308,154,2,5,2,3,0,11,0,11,0,11,21,29,0,11,21,29
8600000US62675,62675,ZCTA5 62675,5861,260,5693,257,40,48,0,15,0,15,47,65,23,26,58,46,0,15,58,46
8600000US62677,62677,ZCTA5 62677,2332,298,2288,294,18,23,0,11,8,9,0,11,11,13,7,6,0,11,7,6
8600000US62681,62681,ZCTA5 62681,5680,184,5227,183,398,67,0,15,0,15,0,15,0,15,55,65,0,15,55,65
8600000US62682,62682,ZCTA5 62682,977,174,906,153,3,6,3,5,0,11,0,11,0,11,65,48,0,11,65,48
8600000US62684,62684,ZCTA5 62684,5362,462,5362,462,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
8600000US62685,62685,ZCTA5 62685,2113,303,1965,289,82,34,12,11,3,4,0,11,1,2,50,44,0,11,50,44
8600000US62688,62688,ZCTA5 62688,543,115,543,115,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62689,62689,ZCTA5 62689,478,132,465,129,0,11,0,11,0,11,0,11,0,11,13,21,0,11,13,21
8600000US62690,62690,ZCTA5 62690,4080,296,4053,298,8,13,0,11,0,11,0,11,0,11,19,23,13,21,6,10
8600000US62691,62691,ZCTA5 62691,2012,165,1928,165,15,18,0,11,35,24,0,11,13,9,21,19,0,11,21,19
8600000US62692,62692,ZCTA5 62692,2024,210,1999,210,9,13,0,11,0,11,0,11,3,4,13,17,0,11,13,17
8600000US62693,62693,ZCTA5 62693,1664,282,1643,280,0,11,0,11,0,11,0,11,7,13,14,16,3,4,11,15
8600000US62694,62694,ZCTA5 62694,2982,129,2914,126,6,7,25,18,0,11,0,11,4,8,33,18,0,11,33,18
8600000US62695,62695,ZCTA5 62695,193,58,185,53,0,11,0,11,0,11,0,11,0,11,8,13,0,11,8,13
8600000US62701,62701,ZCTA5 62701,1109,190,744,151,275,94,7,11,38,35,17,22,0,11,28,27,0,11,28,27
8600000US62702,62702,ZCTA5 62702,34479,935,27106,898,5658,715,38,40,311,158,14,17,139,87,1213,356,55,54,1158,348
8600000US62703,62703,ZCTA5 62703,31103,1234,17809,1085,11217,739,22,28,319,117,20,29,422,252,1294,369,58,50,1236,360
8600000US62704,62704,ZCTA5 62704,40306,1029,30915,861,6616,913,14,15,1307,278,11,13,458,218,985,277,69,63,916,269
